title,Krumhansl-Shmuckler,simple weights,Aarden Essen,Bellman Budge,Temperly Kostka Payne,as transcribed,final_note,freq note,freq weighted acc,certainty,root,expert assigned
"Swaggering Rake, The",4,4,4,4,4,4,9,4,11,0.78,4,4
Pigeons Wait for Easter (reel),4,4,4,9,4,4,2,11,11,0.56,4,4
"Mermaid of Mullaghmore (reel), The",2,2,2,2,2,2,6,9,6,0.67,2,2
Lord Wilson's Hornpipe,11,2,11,2,2,2,2,2,2,0.78,2,2
"Yellow Kid (polka), The",7,7,7,7,7,7,7,9,11,0.78,7,7
"Mist on the River  (hornpipe), The",0,7,0,7,7,7,7,7,7,0.78,7,7
"Newborn Lamb  (polka), The",2,2,2,2,2,2,2,11,9,0.78,2,2
Castle Kelly (reel),9,9,9,2,7,9,9,9,7,0.67,9,9
Solus Lillis' Reel,0,0,0,0,0,0,7,0,4,0.78,0,0
"Old Kerry Cow  (reel), The",2,2,2,2,2,2,2,2,9,0.89,2,2
"Sky Without Clouds  (polka), A",4,7,4,4,7,2,7,6,7,0.44,7,7
My Wife's My Own,9,9,9,9,9,9,7,9,0,0.78,9,9
Drag Her Around the Road (reel),7,7,7,7,7,4,9,11,7,0.67,7,4
"Murneen Polka , The",2,2,2,2,2,2,2,9,9,0.78,2,2
"Piper's Delusion  (reel), The",7,7,7,7,7,7,7,2,11,0.78,7,7
Coming Home from the Bog (reel),7,7,7,7,7,7,7,7,7,1,7,7
"Tailor's Thimble (reel), The 2",2,2,2,2,2,2,2,2,1,0.89,2,2
"Piper's New House  (hornpipe), The",11,2,11,2,2,2,2,6,2,0.67,2,2
Gannon's Dozen,2,2,2,2,2,2,9,6,6,0.67,2,2
"Hag With the Money, The",2,2,2,2,2,2,2,9,9,0.78,2,2
Sixpenny Money,2,2,2,2,2,2,2,2,9,0.89,2,2
Margot Jackson (reel),7,7,7,7,7,7,7,7,7,1,7,7
McMahon's Reel,7,7,7,7,7,7,2,11,4,0.67,7,7
"Lasses of Saint Barry's (reel), The",7,7,7,7,7,7,9,11,2,0.67,7,7
McGovern's Favorite (reel),2,2,2,2,2,9,11,9,9,0.56,2,9
"Geese in the Bog, The",2,2,2,2,2,2,9,9,9,0.67,2,2
McFadden's Reel 2,11,11,11,11,11,2,11,6,6,0.67,11,11
Miss McGuiness (reel),7,7,7,7,7,9,9,2,2,0.56,7,7
Ryan's Flute  (reel),4,2,4,2,7,9,9,7,4,0.33,4,9
Elizabeth Brogan's (reel),7,7,7,7,7,7,7,7,7,1,7,7
"Angry Peeler, The",7,7,7,7,7,7,7,9,11,0.78,7,7
Micky O'Callaghan's Favorite (h'pipe),2,2,2,2,2,2,2,6,2,0.89,2,2
George White's Favorite (reel),7,7,7,7,7,7,7,11,4,0.78,7,7
"Dairymaid (reel), The",2,11,2,2,2,2,11,6,2,0.67,2,2
"Humors of Whitegate (reel), The",2,2,2,2,2,2,2,9,9,0.78,2,2
"Salamanca Reel, The",2,2,2,2,2,2,2,6,6,0.78,2,2
My Love is in America (reel),2,7,2,7,2,2,2,2,9,0.67,2,2
"Tenpenny Bit, The",4,2,4,2,2,9,9,9,7,0.33,9,9
You'll Come Home with Me,2,7,2,2,7,7,7,9,9,0.44,7,2
Nellie Is My Love,11,11,11,4,11,11,11,11,11,0.89,11,11
"Moving Bogs (reel), The",4,7,4,7,7,7,9,7,7,0.67,7,7
"Humors of Multyfarnham, The",2,2,2,2,2,2,2,6,9,0.78,2,2
Dunphy's Hornpipe,7,7,7,7,7,7,7,7,7,1,7,7
Cleaning the Henhouse (reel),2,11,2,11,2,2,4,6,2,0.56,2,2
"Achreidh Jig, The",9,9,9,0,0,0,2,0,2,0.44,0,2
"Northern Slope  (reel), The",2,2,2,2,2,2,2,9,9,0.78,2,2
Thady Casey's Fancy (reel),4,4,4,7,7,4,2,11,11,0.44,4,4
"Knotted Cord (reel), The",4,7,4,7,7,9,11,11,4,0.33,4,9
"Gauger (reel), The",2,2,2,2,2,2,9,9,1,0.67,2,9
"Merry Blacksmith (reel), The",2,2,2,2,2,2,2,9,11,0.78,2,2
"Big Road to Sligo, The",2,2,2,2,2,2,2,2,4,0.89,2,2
"Lobster (reel), The",7,7,7,7,7,7,7,7,9,0.89,7,7
"Fairhaired Boy, The",4,9,4,2,4,9,9,9,4,0.44,9,9
"Hen and Her Clutch (reel), The",4,2,4,2,7,9,2,7,4,0.33,2,9
"Flowers of Spring, The",4,2,4,2,7,9,9,11,9,0.33,9,9
"Aghavas Reel 1, The",4,4,4,4,4,4,4,11,4,0.89,4,4
"Rathmore Farmer , The",2,2,2,2,2,2,2,6,9,0.78,2,2
I Ne'er Shall Wean Her,0,7,0,7,0,9,9,4,0,0.44,0,0
Is Your Wallet Made of Silk  (slide),4,7,4,7,7,7,7,7,11,0.67,7,7
Murphy's (hornpipe),2,2,2,2,2,2,2,2,2,1,2,2
Crushing the Twigs (reel),2,7,2,2,2,2,7,6,4,0.56,2,2
Going to the Races,7,7,7,7,7,7,0,11,11,0.67,7,7
John Doherty's Reel (1),2,2,2,2,2,2,4,6,6,0.67,2,2
"Sheep on the Mountains, The",2,7,2,7,2,7,2,7,9,0.44,2,2
"Cashenbridge Polka, The",9,2,9,2,2,2,9,4,4,0.44,2,2
"Boys of Kilsarne (reel), The",7,7,7,7,7,7,7,11,11,0.78,7,7
Padraic Mac Giollarnath,2,2,2,2,2,2,2,2,9,0.89,2,2
Sweeney's Dream  (reel),2,11,2,2,2,2,4,6,6,0.56,2,2
James McMahon's Jig,2,2,2,2,2,2,2,2,4,0.89,2,2
"Black Sticks  (reel), The",4,2,4,2,7,7,2,4,4,0.44,4,7
Junior's Mouse,5,0,5,0,5,9,7,9,9,0.33,9,9
Late Home at Night,4,4,4,4,4,7,9,11,11,0.56,4,4
"Boys Of The Lough (reel), The",2,11,2,11,2,2,2,6,9,0.56,2,2
Baile an tSamhraidh (slide),2,7,2,7,7,7,2,4,2,0.44,2,2
"Tiger Hornpipe, The",7,7,7,7,7,7,9,11,7,0.78,7,7
"Eight and Forty Sisters (reel), The",4,4,4,4,4,7,6,11,6,0.56,4,4
"Sally Gardens (reel), The",7,7,7,7,7,7,7,7,2,0.89,7,7
"Gander at the Pratie Hole, The",2,2,2,7,2,7,2,9,6,0.56,2,2
I Have No Money (reel),2,2,2,2,2,2,2,9,6,0.78,2,2
Cronin's Hornpipe,7,7,7,7,7,7,7,2,2,0.78,7,7
"Boys of Thomastown, The",4,7,4,7,7,7,7,9,11,0.56,7,7
Leahy's Jig,2,2,2,2,2,2,2,6,11,0.78,2,2
Time Well Spent  (hornpipe),7,2,7,2,7,7,9,9,7,0.56,7,7
"Christening (reel), The",2,2,2,2,2,2,4,9,9,0.67,2,2
"Priest in His Boots, The",7,7,7,7,7,7,7,9,9,0.78,7,7
East Of Galway,2,2,2,2,2,7,7,2,9,0.67,2,2
"Mullingar Races (reel), The",2,2,2,2,2,2,2,2,2,1,2,2
Lady Gordon's  (reel),2,2,2,2,2,2,9,2,2,0.89,2,2
It Goes As Follies (reel),7,7,7,7,7,7,7,2,11,0.78,7,7
"Humors of Ross, The",7,7,7,7,7,2,2,11,2,0.56,7,7
Thomas' Hornpipe,2,7,2,2,2,2,2,2,2,0.89,2,2
Miss Patterson's Slippers  (reel),11,4,11,9,2,4,4,4,11,0.44,4,4
Bean a Ti Ar Lar (reel),2,2,2,2,2,2,11,1,9,0.67,2,2
"Mouse in the Cupboard, The",7,7,7,7,7,7,7,7,11,0.89,7,7
Mary Darby's,2,2,2,2,2,2,2,2,2,1,2,2
"Derrylee Reel , The",4,4,4,7,7,9,2,11,11,0.33,4,9
Last Night's Fun 1 (reel),2,7,2,2,2,2,1,2,2,0.78,2,2
I'd Rather Be Married than Left,2,2,2,2,2,2,2,9,9,0.78,2,2
Bacon and Beans  (hornpipe),2,2,2,2,2,2,0,2,2,0.89,2,2
Padraig O'Keeffe's Slide (1),11,9,11,2,2,2,9,1,9,0.33,9,9
McFadden's Reel 1,2,2,2,2,2,2,6,11,6,0.67,2,2
Eileen O'Loughlin's  (reel),2,2,2,2,2,2,2,2,2,1,2,2
Miss Geraldine's Jig,2,2,2,2,2,2,2,2,4,0.89,2,2
"Musical Mulvihills  (reel), The",7,7,7,7,7,7,7,11,7,0.89,7,7
"Belfast Boat, The",7,7,7,7,7,7,7,7,7,1,7,7
"Green Gates (reel), The",4,7,4,7,7,7,7,6,7,0.67,7,7
"Waves of Clew Bay  (reel), The",2,7,2,7,7,2,2,2,2,0.67,2,2
Drover's Lads,7,7,7,7,7,7,9,11,7,0.78,7,7
Miss McDonald (reel),7,7,7,7,7,7,11,7,4,0.78,7,7
Kiss the Maid Behind the Barrel (reel) 2,7,7,7,7,7,7,7,7,7,1,7,7
Comin' Thro' the Rye,2,2,2,2,2,2,2,9,2,0.89,2,2
Mammy's Pet (reel),2,2,2,2,2,2,2,4,2,0.89,2,2
"Hard Road, The",7,7,7,7,7,7,7,7,2,0.89,7,7
"Windy Gap (reel), The",4,7,4,7,7,7,7,7,11,0.67,7,7
Down the Hill to Doolin  (reel),7,7,7,7,7,7,6,7,11,0.78,7,7
McFarley's Reel,2,2,2,2,2,2,2,2,11,0.89,2,2
"Kid, The",7,7,7,7,7,7,4,11,2,0.67,7,7
"Green Pigeon (reel), The",7,7,7,7,7,7,2,9,7,0.78,7,2
Jimmy Giblin's Reel,2,7,2,2,2,2,2,2,2,0.89,2,2
"Connacht Heifers (reel), The",2,7,2,7,7,7,2,7,9,0.56,7,7
Glen Road to Carrick  (reel),7,7,7,7,7,7,2,9,9,0.67,7,2
"Drummond Lasses  (reel), The",7,7,7,7,7,7,7,7,7,1,7,7
"Ravelled Hank of Yarn (reel), The",7,7,7,7,7,7,7,7,2,0.89,7,7
"Evening in Clare  (reel), An",9,0,9,9,9,9,9,0,0,0.67,9,9
Up to Your Knees in Sand (reel),4,11,4,7,7,4,4,11,7,0.44,4,4
Danny Ab's  (slide),9,9,9,2,9,9,9,11,4,0.67,9,9
"Wicklow Mountains, The",7,2,7,7,7,7,2,11,11,0.56,7,7
"Lands of Scotland, The",7,7,7,7,7,7,7,9,7,0.89,7,7
Cabin Hunter  (reel),4,4,4,2,2,4,2,6,2,0.44,2,4
Tie the Ribbons  (reel),4,7,4,2,2,4,4,2,7,0.44,4,4
"Carlow Tinker (reel), The",2,7,2,2,2,2,2,7,4,0.67,2,9
"Sweep's Hornpipe, The",4,4,4,4,4,7,4,6,4,0.78,4,7
"First of August (reel), The",7,7,7,7,7,7,4,7,7,0.89,7,7
"White Pony, The",7,7,7,7,7,7,7,7,9,0.89,7,7
God Speed the Plough  (reel),7,7,7,7,7,7,7,2,7,0.89,7,7
"Butcher's Jig , The",7,2,7,7,7,7,7,2,2,0.67,7,7
"Munster Shanachie, The",2,9,2,2,2,4,4,11,11,0.44,2,4
"Killaval (Fancy) (reel), The",2,2,2,7,2,2,6,2,11,0.67,2,2
"Kildare Fancy (hornpipe), The",2,2,2,2,2,2,2,9,9,0.78,2,2
Boy in the Gap (reel),2,2,2,2,2,2,2,2,4,0.89,2,2
Paddy Fahy's Jig,7,7,7,7,7,7,7,0,7,0.89,7,7
Murphy's Reel,2,11,2,2,2,2,2,6,2,0.78,2,2
"Tenpenny Piece, The",4,7,4,7,7,7,9,11,4,0.44,7,4
"Back Garden  (polka), The",2,2,2,2,2,2,2,2,11,0.89,2,2
Fred Finn's (reel),2,2,2,2,2,2,2,2,6,0.89,2,2
"Tabby Cat  (polka), The",11,2,11,2,2,2,2,2,7,0.67,2,2
Big John's Reel,2,2,2,2,2,2,2,2,2,1,2,2
"Piper's Wedding  (reel), The",7,7,7,7,7,7,2,7,7,0.89,7,7
Connell's Contribution  (reel),2,2,2,2,2,2,2,2,9,0.89,2,2
"Old Tipperary Jig, The",7,7,7,7,7,7,7,7,7,1,7,7
O'Leary's Daughter  (slide),4,9,4,9,2,9,4,4,4,0.56,4,9
"Repeal of the Union (reel), The",9,2,9,2,2,2,2,4,9,0.56,2,2
Johnny Cope (hornpipe),9,2,9,7,7,9,9,2,4,0.44,9,9
"Ladies of Drogheda  (reel), The",11,2,11,2,2,4,4,11,2,0.44,2,4
"Wheels of the World (reel), The",2,7,2,7,2,7,2,2,2,0.67,2,2
"Kid on the Mountain, The",4,7,4,7,7,4,2,9,11,0.33,4,4
"Hare in the Heather (reel), The",11,4,11,9,11,4,4,11,11,0.56,11,4
Poll Ha'penny (hornpipe),4,7,4,2,7,7,9,4,7,0.44,7,9
Let's Be Drinking,9,0,9,0,0,9,9,4,4,0.44,9,9
"Humors of Whiskey, The",9,4,9,9,4,7,2,9,11,0.44,9,4
His Cow or Yours   (reel),2,2,2,2,2,2,2,2,2,1,2,2
Kelly's Jig,7,7,7,7,7,7,7,2,7,0.89,7,7
Mary of the Grove  (reel),4,11,4,7,7,4,2,11,11,0.33,11,4
Tom Moran's Fancy,2,2,2,2,2,2,2,9,9,0.78,2,2
"Tinker's Bib (reel), The",4,2,4,2,2,9,7,9,4,0.33,2,9
Miss Jenny's   (polka),7,7,7,7,7,7,7,11,7,0.89,7,7
"Sore Foot (reel), The",4,9,4,0,4,9,7,9,9,0.44,9,9
"Loo Bridge Jig , The",7,7,7,7,7,7,7,11,11,0.78,7,7
"Rising Sun (a2) (reel), The",2,2,2,2,2,2,2,9,2,0.89,2,2
Miss Monaghan's (reel),2,2,2,2,2,2,2,7,6,0.78,2,2
"Bay Shore Jig , The",2,2,2,2,2,2,2,2,2,1,2,2
Lovely Anne (reel),9,9,9,7,7,9,9,9,0,0.67,9,9
"Cullen Slide #2 , The",7,2,7,7,7,7,7,9,9,0.67,7,7
"Lass of Ballintra 2 (reel), The",11,2,11,2,2,2,2,2,2,0.78,2,2
"Lass in the Parlour, The",7,7,7,7,7,9,7,2,4,0.67,7,9
"Sporting Days of Easter (reel), The",9,7,9,7,7,7,2,2,2,0.44,7,2
"Clare Reel, The",7,7,7,7,7,7,7,7,11,0.89,7,7
"Merry Harriers (reel), The",7,7,7,7,7,9,2,7,4,0.67,7,9
"New Custom House (reel), The",7,7,7,7,7,7,11,2,9,0.67,7,2
"Rambling Connachtman  (reel), The",4,7,4,7,7,7,7,6,7,0.67,7,7
Gusty's Frolics,2,7,2,7,2,7,0,2,9,0.44,2,2
Lord Gordon (reel) 2,2,2,2,2,2,2,11,9,9,0.67,2,2
Mick Duggan's Slide,2,9,2,2,2,2,9,6,9,0.56,2,2
"Dream of Home (reel), A",2,2,2,2,2,2,2,2,2,1,2,2
Berkshire Heights (reel),2,2,2,2,2,2,2,2,9,0.89,2,2
Tear the Calico (reel) 2,7,7,7,7,7,7,2,7,9,0.78,7,7
Lovely Lassie Winking (reel),2,2,2,2,2,2,2,9,11,0.78,2,2
Finnegan's Widow  (polka),4,7,4,7,7,7,7,7,7,0.78,7,7
Lucy Campbell (reel),2,2,2,2,2,2,2,6,2,0.89,2,2
"Four Shoves (2) (polka), The",2,2,2,2,2,2,2,2,2,1,2,2
O'Connell's Farewell to Dublin (reel),7,7,7,7,7,9,9,9,9,0.56,7,9
Garry Castle,4,7,4,7,7,7,7,7,7,0.78,7,7
"Cavan Reel, The",2,2,2,2,2,2,2,9,6,0.78,2,2
Padraig's Hope  (reel),7,7,7,7,7,7,7,7,7,1,7,7
"Fairhaired Boy (reel), The",2,2,2,2,2,2,1,9,9,0.67,2,2
Chain the Pony,2,2,2,2,2,2,2,4,2,0.89,2,2
Paddy McFadden's,4,9,4,2,4,9,9,4,4,0.56,4,9
"Plains of Boyle (hornpipe), The",2,2,2,2,2,2,2,9,9,0.78,2,2
Throw the Beetle at Her!,4,4,4,4,4,7,9,11,11,0.56,4,4
"Dunmore Lasses (reel), The",4,4,4,4,4,4,4,4,7,0.89,4,4
Ripples on the River  (hornpipe),2,7,2,2,2,2,2,6,2,0.78,2,2
Miss Lyons' Fancy (reel),2,2,2,2,2,2,6,6,2,0.78,2,2
"Silver Spire (reel), The",2,2,2,2,2,2,2,6,2,0.89,2,2
Tear It to Rags,11,2,11,2,2,2,2,2,9,0.67,2,2
La Cosa Mulligan  (reel),2,2,2,2,2,2,2,4,2,0.89,2,2
Union Reel,9,9,9,9,9,9,4,9,2,0.78,9,9
"Donegal Rambler (reel), The",2,2,2,2,2,9,2,2,2,0.89,2,2
"Meenacross Reel , The",4,7,4,7,7,4,1,4,7,0.44,4,4
"Green Tea Reel, The",2,2,2,2,2,2,2,2,2,1,2,2
"Mountain Lark (reel), The",7,7,7,7,7,7,9,7,9,0.78,7,7
Molly Bawn  (reel),2,2,2,2,2,2,11,4,9,0.67,2,9
Spare the Rod  (reel),9,4,9,0,7,7,7,11,0,0.33,7,7
Traver's Reel,4,2,4,7,7,9,9,11,11,0.22,9,9
Martin's Trip to Cree,4,9,4,2,4,9,9,9,4,0.44,9,9
Tommy Cowley's,7,2,7,7,7,7,7,11,7,0.78,7,7
John Ryan's Radio Polka,11,2,11,2,2,2,2,2,9,0.67,2,2
Garrett Barry's,2,7,2,7,2,7,2,9,2,0.56,2,2
"Killaloe Boat, The",4,4,4,2,7,9,9,11,4,0.44,4,9
"Pipe on the Hob, The",2,7,2,7,2,7,2,2,2,0.67,2,2
Tim Dillon's Reel,11,11,11,11,11,2,2,6,2,0.56,11,11
"Empire State Reel  #1, The",2,0,2,0,0,7,5,2,2,0.44,2,5
Connolly's Reel (reel),2,2,2,2,2,2,2,2,2,1,2,2
"Diving Duck  (polka), The",7,4,7,7,7,7,7,11,11,0.67,7,7
Farewell to Connacht (reel),9,7,9,7,7,7,4,9,0,0.44,7,2
"Irish Frolic, The",9,2,9,2,9,2,7,9,9,0.56,9,9
For the Sake of Old Decency (reel),7,7,7,7,7,7,4,7,2,0.78,7,7
Doon Reel,2,2,2,2,2,2,7,9,7,0.67,2,2
Your Mother's Fair Pet (reel),2,2,2,2,2,2,4,9,4,0.67,2,2
Gilbert Clancy's (reel),7,7,7,7,7,7,7,7,7,1,7,7
O'Flynn's Fancy (reel),7,7,7,7,7,7,11,11,2,0.67,7,7
Two Birds in the Tree (reel),4,2,4,2,7,9,7,9,11,0.22,9,9
A Trip To Galway,4,4,4,2,2,4,4,4,4,0.78,4,4
Langstern Pony,11,2,11,2,2,2,2,4,1,0.56,2,9
"Old Favorite, The",7,7,7,7,7,7,7,11,2,0.78,7,7
"Dowser's Favorite (reel), The",7,7,7,7,7,7,7,11,2,0.78,7,7
"Humors of Tuamgraney, The",9,0,9,7,7,9,9,9,9,0.67,9,9
"Gullane Jig, The",2,2,2,2,2,2,2,2,6,0.89,2,2
"Bright May Moon (reel), The",9,9,9,9,9,9,9,1,1,0.78,9,9
"Slide John B , The",2,2,2,2,2,2,2,6,2,0.89,2,2
Down the Banks With Mary (reel),4,7,4,7,7,7,7,2,11,0.56,7,7
Smiles and Tears of Erin (reel),7,7,7,7,7,7,9,7,6,0.78,7,7
Miss Brown's Fancy,2,2,2,2,2,2,7,11,11,0.67,2,4
"Satin Slipper Reel [1], The",2,2,2,2,2,2,2,2,9,0.89,2,2
"Hag's Purse, The",7,7,7,7,7,7,2,2,0,0.67,7,7
"Maid Of Castlebar (reel), The",2,2,2,2,2,2,2,6,2,0.89,2,2
Tear the Calico (reel),2,2,2,2,2,2,2,2,4,0.89,2,2
Jack's Alive (reel),4,7,4,7,7,7,7,7,7,0.78,7,7
Tommy O'Dea's (reel),7,7,7,7,7,7,0,7,4,0.78,7,7
Mary Brennan's Favorite,7,7,7,7,7,7,7,7,7,1,7,7
O'Donoghue's Pub,2,2,2,2,2,2,2,4,4,0.78,2,2
John Kelly's Favorite (reel),2,0,2,0,5,0,7,9,5,0.33,0,7
Dusty Miller,7,7,7,7,7,7,7,11,11,0.78,7,7
Crabs in the Greasepot,4,4,4,2,4,7,4,9,9,0.56,4,9
"Old Concertina  (reel), The",11,9,11,9,11,2,2,11,11,0.56,11,4
Bridget Flynn's (reel),4,4,4,4,4,4,9,11,11,0.67,4,4
Jack the Deckhand  (reel),7,7,7,7,7,7,6,2,4,0.67,7,7
Lord Gordon (reel) 3,2,2,2,2,2,2,2,2,11,0.89,2,2
"Ducks in the Oats, The",9,7,9,7,7,7,2,2,0,0.44,7,2
Miss Ramsay  (reel),2,2,2,2,2,2,4,2,9,0.78,2,2
Dan Patsy's Slide,4,4,4,2,2,7,9,11,6,0.33,4,7
Tell Her I Am,7,7,7,7,7,7,2,7,2,0.78,7,7
Sally's Broomstick,2,2,2,2,2,2,9,2,1,0.78,2,2
"Setting of the Sun (reel), The",11,2,11,2,2,2,2,2,2,0.78,2,2
"Corner House (reel), The",4,7,4,7,7,9,9,4,4,0.44,4,9
Brown's Hornpipe,11,2,11,2,2,2,2,9,2,0.67,2,2
John Slattery's Reel,9,0,9,0,0,7,9,0,4,0.44,0,9
Malloy's Favorite (reel),7,7,7,7,7,7,7,7,9,0.89,7,7
"Ladies' Pantalettes (reel), The",2,7,2,7,7,7,7,7,6,0.67,7,7
"Killinure Reel , The",9,9,9,9,9,9,9,9,4,0.89,9,9
"Kinvara Reel , The",7,7,7,7,7,7,2,7,7,0.89,7,7
"Dooagh Polka , The",7,7,7,7,7,7,7,2,0,0.78,7,7
Old Tipperary,2,7,2,7,7,7,6,7,0,0.56,7,7
Morrison's,4,4,4,4,4,4,2,4,11,0.78,4,4
"Loughill Hornpipe, The",7,7,7,7,7,7,7,7,0,0.89,7,7
Come Upstairs with Me,4,7,4,7,7,7,7,7,11,0.67,7,7
Sliabh Russell,4,9,4,2,4,7,9,4,4,0.56,4,9
"Duke's Retreat  (hornpipe), The",4,7,4,4,4,4,4,9,7,0.67,4,4
Quinn's Reel 1,2,2,2,2,2,2,11,2,9,0.78,2,2
Peacock's Feather 1 (hornpipe),2,2,2,2,2,2,2,9,5,0.78,2,2
"Duke of Leinster (reel), The",4,7,4,7,7,7,4,11,2,0.44,7,7
Brosna Slide,2,9,2,9,9,9,2,4,4,0.44,9,9
Bonny Anne (reel),2,2,2,2,2,2,2,2,1,0.89,2,2
"Whinny Hills of Leitrim, The",7,7,7,7,7,7,9,7,7,0.89,7,7
"Green Fields of America (reel), The",4,7,4,7,7,7,7,7,9,0.67,7,7
"Rose in the Heather, The",2,2,2,2,2,2,4,2,9,0.78,2,2
"Boys of the Lake (reel), The",4,7,4,7,7,7,11,7,11,0.56,7,7
Mrs. Ross' Jig,2,2,2,2,2,2,2,6,9,0.78,2,2
Jackson's Rambles,2,2,2,2,2,2,2,2,2,1,2,2
"Pretty Brown Girl, The",7,7,7,7,7,7,7,7,7,1,7,7
Elizabeth Kelly's,9,9,9,7,9,9,9,4,9,0.78,9,9
Travers' Reel,7,7,7,7,7,7,9,11,11,0.67,7,7
"Calendar Jig, The",11,11,11,2,2,4,2,11,11,0.56,11,4
Foxhunter Reel,9,9,9,9,9,9,1,1,4,0.67,9,9
Miss Ramsey (reel),2,2,2,2,2,2,2,2,2,1,2,2
Kiss the Bride in Bed (reel),2,11,2,2,2,2,2,6,9,0.67,2,2
Wellington's Reel,9,9,9,9,9,9,9,9,9,1,9,9
Miss McLeod's Polka,2,2,2,2,2,2,2,2,6,0.89,2,2
Paddy O Rafferty,7,7,7,7,7,7,7,11,2,0.78,7,7
Bashful Bachelor 2 (hornpipe),7,7,7,7,7,7,7,11,11,0.78,7,7
Farewell to Erin (reel),2,7,2,2,2,2,2,2,2,0.89,2,2
I'd Rather Be Married than Left (slide),2,2,2,2,2,2,2,9,2,0.89,2,2
Mayor Harrison's Fedora (reel),2,2,2,2,2,4,4,2,11,0.67,2,4
Miss Johnston (reel),7,7,7,7,7,7,2,2,11,0.67,7,7
Tom Connors' (hornpipe),7,7,7,7,7,7,7,7,7,1,7,7
Old John's,9,9,9,2,9,9,9,9,0,0.78,9,9
"Mount Collins Reel, The",9,9,9,9,9,9,9,4,9,0.89,9,9
"Coach Road to Sligo, The",7,7,7,7,7,7,7,2,4,0.78,7,7
"Ballinafad Fancy  (polka), The",7,7,7,7,7,7,7,11,11,0.78,7,7
Liam's Reel,7,7,7,7,7,7,7,2,4,0.78,7,7
Jenny's Folly (reel),0,7,0,7,0,7,2,0,9,0.44,0,2
Gold Ring on You,2,2,2,2,2,2,2,2,2,1,2,2
Regan's,2,11,2,2,2,2,2,6,9,0.67,2,2
Maggie Shanley's Slide,9,9,9,9,9,9,9,1,9,0.89,9,9
Cuckoo's Nest (hornpipe),7,7,7,7,7,7,7,11,11,0.78,7,7
Jenny Tie Your Bonnet (reel),2,7,2,2,2,9,7,6,4,0.44,2,9
Orange and Green,7,7,7,7,7,7,7,7,2,0.89,7,7
"Noon Lasses (reel), The",7,7,7,7,7,7,2,7,7,0.89,7,7
Tony Lowe's (polka),4,7,4,7,7,7,7,7,9,0.67,7,7
John Kelly's Slide,11,11,11,2,2,2,7,11,2,0.44,11,2
Knocknagow 2,9,9,9,9,9,9,9,1,1,0.78,9,9
All the Way to Galway (reel),7,2,7,7,7,7,2,9,9,0.56,7,2
Ganley's Jig,2,2,2,2,2,2,2,2,2,1,2,2
Master McDermott's (reel),2,2,2,2,2,2,2,6,2,0.89,2,2
"Lass Among the Primroses (reel), The",4,4,4,2,2,4,4,4,11,0.67,4,4
"Boys of Malin (reel), The",9,9,9,9,9,9,8,4,9,0.78,9,9
Ledlow's Chimes (reel),7,7,7,7,7,7,7,11,11,0.78,7,7
"Lad Who Can Do It, The",2,2,2,2,2,2,11,4,2,0.78,2,2
"Pride of Ahamore (reel), The",2,7,2,7,2,7,2,6,6,0.44,2,2
Elizabeth Kelly's Delight (sj),0,0,0,0,0,9,7,9,9,0.56,0,9
Wallace's Cross (polka),2,2,2,2,2,2,2,4,4,0.78,2,2
Old Hag Beware!  (slide),4,7,4,7,7,7,7,7,7,0.78,7,7
Tom Ward's Downfall (reel),7,7,7,7,7,7,7,7,4,0.89,7,7
"Clar Hornpipe , The",4,7,4,7,7,7,7,7,7,0.78,7,7
Boil the Kettle Early (reel),2,2,2,2,2,2,2,2,2,1,2,2
"Horse Hill Slide , The",7,7,7,7,7,7,7,9,7,0.89,7,7
Ballykeal Jig,7,7,7,7,7,7,11,9,9,0.67,7,7
"Dairy Maid, The",4,4,4,4,4,9,4,4,7,0.78,4,4
"Clonmel Fiddler  (polka), The",11,9,11,9,9,4,4,11,11,0.44,11,4
Porter or Buttermilk  (hornpipe),2,2,2,2,2,2,2,2,6,0.89,2,2
Joe Derrane's,2,7,2,7,2,7,2,11,2,0.56,2,2
"Soldier's Joy, The",7,7,7,7,7,7,7,7,11,0.89,7,7
"Hunter's Prize  (polka), The",2,2,2,2,2,2,2,6,9,0.78,2,2
Mick Hand's (reel),2,2,2,2,2,9,7,7,4,0.56,2,9
"Kerry Cow (polka), The",2,2,2,2,2,2,2,9,1,0.78,2,2
Paddy O'Brien's Hornpipe,2,2,2,2,2,2,2,6,6,0.78,2,2
"Black-Eyed Sailor  (reel), The",7,7,7,7,7,7,7,7,7,1,7,7
"Reens Polka , The",2,2,2,2,2,2,2,7,2,0.89,2,2
"Gatehouse Maid (reel), The",7,2,7,7,7,9,11,11,4,0.44,7,9
Colonel Rogers (reel),7,7,7,7,7,7,7,9,7,0.89,7,7
Dan O'Keeffe's Slide,7,7,7,7,7,7,7,11,2,0.78,7,7
Tom Billy's,9,9,9,2,4,7,9,4,4,0.44,9,9
Dark Girl Dressed in Blue (2) (polka),2,2,2,2,2,2,2,9,6,0.78,2,2
Bob and Joan (Stoneybatter),4,7,4,7,7,7,9,7,11,0.56,7,7
Coleman's Cross (reel),4,7,4,7,7,4,6,6,4,0.44,4,4
"Beauty Spot (reel), The",2,2,2,2,2,0,0,2,4,0.67,2,2
Quinn's Reel 2,2,2,2,2,2,2,2,9,2,0.89,2,2
Trim the Velvet (reel),7,7,7,7,7,7,9,9,2,0.67,7,7
