,index,as transcribed,freq note,freq acc,freq weighted note,freq weighted acc
359,MastersFlaxinBloomreelThe,2,2,9,2,6
360,RepealoftheUnionreelThe,2,4,9,9,9
361,NellieIsMyLove,11,11,11,11,11
362,LittleWhiteCoatThe,7,2,4,2,4
363,OLearysDaughterslide,4,4,4,4,11
364,CollegiansofGlasgowreelThe,4,7,2,7,2
365,BirdintheTreereelThe,7,11,11,11,11
366,GameofLovereelThe,4,4,11,4,7
367,MullingarRacesreelThe,2,2,2,2,2
368,HagwithHerKegonherShoulderThe,7,2,2,2,9
369,HighPartoftheRoadThe,7,7,0,2,2
370,ScattertheMud,9,9,2,9,2
371,MyLoveintheMorning,9,9,9,9,9
372,GimletGimbletThe,9,11,7,11,7
373,SwordinHandreelThe,7,11,6,11,7
374,LarrysPolka,2,2,9,2,9
375,FarewelltoConnachtreel,7,2,0,2,0
376,BrownBreadandCheesepolka,2,9,11,9,11
377,MindtheStep,7,9,7,9,7
378,DowntheBanksWithMaryreel,7,2,11,2,11
379,ListowelFiddlerslideThe,2,2,2,2,2
380,MamasPetreel,9,9,11,9,11
381,OttersHolereelThe,9,9,4,4,4
382,TuttlesReel,2,9,0,9,0
383,BoiltheKettleEarlyreel,2,4,9,9,9
384,TraversReel,9,11,11,11,11
385,MunsterSlipThe,2,2,2,2,2
386,GormansReel,4,2,11,2,11
387,GoneforHisTeareel,4,6,9,6,4
388,PaytheReckoning,7,7,2,4,2
389,RockyRoadtoDublinThe,7,9,11,9,9
390,WavesofClewBayreelThe,2,2,7,2,7
391,CallaghansProgress,2,6,9,6,9
392,MaggieShanleysSlide,9,1,9,4,9
393,HumorsofRossThe,2,11,2,11,2
394,SpringFieldJigThe,7,2,0,2,0
395,BallinasloeFairreel,9,0,7,0,7
396,ItsanIllWind,7,7,7,7,7
397,MaulykevaneJigThe,9,4,4,4,4
398,TaylorsFancyslide,2,9,9,9,2
399,BucksofDublinThe,7,7,7,7,7
400,PriestoftheBoots,2,6,4,6,6
401,MichosTentreel,7,9,11,9,6
402,DrimcongJigThe,9,7,2,4,2
403,WhiteMountainreelThe,2,6,11,9,11
404,OvertheHillsandFarAwaypolka,7,9,9,9,11
405,SparetheRodreel,7,11,0,11,0
